ID,Enrollment_status,Age_at_enrollment_years,Age_current_years,Sex,Age_at_gonadectomy_categorical,Region_of_residence,Body_condition_categorical,Primary_endpoint,Primary_endpoint_diagnosis_tier,Age_at_primary_endpoint_diagnosis_years,Age_at_death_or_ltf_years,Cause_of_death_cancer_yes_no,Total_follow_up_time_years,Necropsy_performed_yes_no
grlsO11NX966,Enrolled,0.59,7.64,Male Neutered,1 - 2 yrs,South,Normal,,,,,,7.64,
grlsBHWNZTOO,LTF,2.03,4.33,Male Intact,Intact,Mountain,Normal,,,,4.33,,4.33,
grlsFIKPBYOO,Enrolled,0.83,7.7,Male Intact,Intact,Northeast,Normal,,,,,,7.7,
grlsHFAQ2VV,Enrolled,1.29,8.36,Male Intact,Intact,Northeast,Overweight,,,,,,8.36,
grls62XRUTII,Enrolled,1.43,7.77,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,7.77,
grlsOWFES8PP,Enrolled,0.55,7.61,Female Spayed,>5 yrs,Northeast,Overweight,,,,,,7.61,
grls7EG892QQ,Enrolled,0.62,7.8,Female Intact,Intact,Midwest,Normal,,,,,,7.8,
grls00NB23WW,Enrolled Deceased,1.99,5.63,Female Spayed,<= 6 mo,Midwest,Normal,,,,5.63,0,5.63,Yes
grls2GP8NDYY,Enrolled,1.97,8.9,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,,,8.9,
grlsTQ9VC111,Enrolled,0.59,7.58,Male Intact,Intact,Northeast,Normal,,,,,,7.58,
grlsY7IIWUU,Enrolled,0.71,7.69,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,7.69,
grlsHRP6EYQQ,Enrolled,0.88,8.12,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,8.12,
grlsI61NK22,Enrolled,2.08,9.4,Male Neutered,1 - 2 yrs,South,,,,,,,9.4,
grlsCK4B7LSS,Enrolled,1.96,9.2,Male Neutered,<= 6 mo,Midwest,,,,,,,9.2,
grls9T8KRFQQ,Enrolled Deceased,1.11,2.54,Female Intact,Intact,South,Normal,,,,2.54,0,2.54,Yes
grlsI7NM0MNN,Enrolled,2.01,8.98,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,8.98,
grlsXJUDPE99,Enrolled,0.81,8.16,Female Spayed,<= 6 mo,Mountain,Normal,,,,,,8.16,
grlsXBV6QUPP,Enrolled,1.37,7.67,Female Spayed,<= 6 mo,Pacific,Normal,,,,,,7.67,
grls4SK5P4OO,Enrolled,0.65,7.49,Female Spayed,>5 yrs,South,Normal,,,,,,7.49,
grls83HHNYHH,Enrolled,0.65,7.49,Male Neutered,2 - 5 yrs,South,Normal,,,,,,7.49,
grlsN38NYTQQ,Enrolled,2,9.2,Male Neutered,2 - 5 yrs,Midwest,Normal,,,,,,9.2,
grls45CVROHH,Enrolled,0.6,7.65,Female Spayed,<= 6 mo,South,Normal,,,,,,7.65,
grls83C2TLMM,Enrolled Deceased,0.83,6.43,Female Intact,Intact,Midwest,Normal,Lymphoma,1,6.18,6.43,1,6.43,No
grlsXINS7GTT,Enrolled,1.11,7.93,Male Neutered,2 - 5 yrs,South,Normal,,,,,,7.93,
grlsOJ10YCSS,Enrolled,1.11,7.93,Female Spayed,<= 6 mo,South,Normal,,,,,,7.93,
grlsIN74W0UU,Enrolled,0.71,7.55,Male Neutered,1 - 2 yrs,Mountain,Normal,,,,,,7.55,
grlsJR9FJ7OO,LTF,1.98,5.04,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,5.04,,5.04,
grlsH1FXQJZZ,Enrolled,1.2,7.68,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,,,7.68,
grlsXPJ449HH,Enrolled,0.67,7.87,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,7.87,
grlsG6EFT66,Enrolled,0.65,7.85,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,7.85,
grlsB9A55HHH,Enrolled,0.98,7.97,Male Neutered,6 mo - 1 yr,Midwest,Overweight,,,,,,7.97,
grlsJE4JG3OO,Enrolled,0.62,7.71,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,,,7.71,
grls56OU2P,LTF,0.61,0.59,Female Intact,Intact,Mountain,Normal,,,,0.59,,0.59,
grlsE9J2YZTT,Enrolled,0.82,7.72,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,7.72,
grls39PTM4TT,Enrolled,1.17,8.53,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,8.53,
grls69OEY100,Enrolled Deceased,1.19,5.73,Female Intact,Intact,Northeast,Normal,,,,5.73,0,5.73,Yes
grlsWVMMO9XX,LTF,1.98,4.94,Female Spayed,1 - 2 yrs,South,Overweight,,,,4.94,,4.94,
grls1CTSI5XX,Enrolled Deceased,1.58,6.51,Male Neutered,6 mo - 1 yr,South,Obese,Hemangiosarcoma,1,6.52,6.51,1,6.51,Yes
grlsCCG2I3EE,Enrolled,1.22,7.71,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,,,7.71,
grlsQ1PRHFQQ,Enrolled,0.94,8.12,Male Neutered,6 mo - 1 yr,Northeast,,,,,,,8.12,
grlsMCWWZIVV,Enrolled,0.54,7.71,Male Neutered,<= 6 mo,South,Overweight,,,,,,7.71,
grlsKOORUGEE,Enrolled,0.88,8.19,Female Intact,Intact,Pacific,Underweight,,,,,,8.19,
grlsQVYRH955,LTF,1.65,3.49,Female Spayed,<= 6 mo,Mountain,Normal,,,,3.49,,3.49,
grlsD3VDRN66,Enrolled,2.07,8.63,Male Neutered,<= 6 mo,South,Normal,,,,,,8.63,
grlsXMDSVDHH,Enrolled,0.63,7.84,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,7.84,
grls4EIELLL,Enrolled Deceased,0.63,4.78,Female Spayed,1 - 2 yrs,Northeast,Normal,,,,4.78,0,4.78,No
grlsPO60V0HH,Enrolled,0.59,7.67,Female Intact,Intact,Northeast,Overweight,,,,,,7.67,
grls6G37VK44,Enrolled,1.41,8.49,Male Neutered,2 - 5 yrs,Northeast,Overweight,,,,,,8.49,
grlsNG8DLWBB,Enrolled,2.16,9.11,Female Spayed,>5 yrs,Mountain,Overweight,,,,,,9.11,
grlsQRKU7TOO,Enrolled,1.42,8.56,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,8.56,
grls0Z7K57AA,Enrolled,0.96,7.59,Male Neutered,2 - 5 yrs,Mountain,Normal,,,,,,7.59,
grlsT9U2Q,Enrolled Deceased,1.22,5.52,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,5.52,0,5.52,No
grlsN717FOBB,LTF,0.97,3.87,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,3.87,,3.87,
grlsSD91L8VV,Enrolled,1.09,7.9,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,7.9,
grlsSI5C80NN,LTF,1.39,1.28,Female Spayed,<= 6 mo,South,Normal,,,,1.28,,1.28,
grlsXRKVV33,Enrolled,0.7,7.9,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,7.9,
grlsLP1FORDD,Enrolled,1.55,7.96,Male Neutered,1 - 2 yrs,Northeast,Overweight,,,,,,7.96,
grlsH2L2L7BB,Enrolled,1.66,8.97,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,,,8.97,
grlsQQAVGW11,Enrolled,1.89,8.3,Female Intact,Intact,Midwest,Normal,,,,,,8.3,
grlsIGEVNVBB,Enrolled,1.96,8.38,Male Intact,Intact,Midwest,Overweight,,,,,,8.38,
grlsI4KWZ2ZZ,Enrolled,1.75,8.09,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,8.09,
grls415JZ9NN,Enrolled,0.68,7.7,Male Neutered,>5 yrs,Midwest,Normal,,,,,,7.7,
grlsKM12EY11,LTF,0.76,3.7,Female Spayed,6 mo - 1 yr,South,Overweight,,,,3.7,,3.7,
grlsLTT9QPPP,Enrolled,1.32,7.94,Female Spayed,<= 6 mo,South,Normal,,,,,,7.94,
grlsTP9TT4NN,Enrolled,1.25,8.28,Male Neutered,1 - 2 yrs,Pacific,,,,,,,8.28,
grlsOCF45EDD,Enrolled,1.89,8.24,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.24,
grlsHE03MPRR,Enrolled,1.03,8.25,Female Spayed,2 - 5 yrs,Midwest,Normal,,,,,,8.25,
grlsQ9YKQ5BB,Enrolled,2.02,9.06,Female Spayed,2 - 5 yrs,South,Normal,,,,,,9.06,
grls3LNZCJ77,Enrolled,0.75,7.7,Male Intact,Intact,South,Normal,,,,,,7.7,
grls0QDSCTT,Enrolled,2.14,9.34,Female Intact,Intact,South,Normal,,,,,,9.34,
grlsMX63K0SS,Enrolled,1.35,8.25,Female Spayed,>5 yrs,Northeast,Normal,,,,,,8.25,
grlsGI38BBII,Enrolled,0.92,7.97,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,7.97,
grlsI3G3N9,Enrolled,1.5,8.74,Female Spayed,2 - 5 yrs,Pacific,Normal,,,,,,8.74,
grlsRGL7RCUU,Enrolled,1.91,8.59,Female Intact,Intact,Midwest,Normal,,,,,,8.59,
grlsM2WNE1LL,Enrolled,1.63,8.01,Female Spayed,>5 yrs,Northeast,Underweight,,,,,,8.01,
grlsLWV4E5QQ,Enrolled,0.73,7.56,Male Intact,Intact,South,Normal,,,,,,7.56,
grlsFMCUG5FF,Enrolled,1.95,9.21,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,9.21,
grlsHPTRZVGG,Enrolled,0.59,7.54,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,,,7.54,
grlsYFWBND88,Enrolled,1.09,7.56,Female Spayed,1 - 2 yrs,Pacific,Overweight,,,,,,7.56,
grlsEM8W2TCC,Enrolled Deceased,0.64,6.98,Female Spayed,1 - 2 yrs,Mountain,Normal,,,,6.98,0,6.98,Yes
grls7K5JPQDD,LTF,1.26,1.21,Female Intact,Intact,Midwest,Normal,,,,1.21,,1.21,
grls6I33D5LL,Enrolled,1.46,8.34,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,8.34,
grlsLN8NVXX,Enrolled,1.8,9.05,Male Intact,Intact,Northeast,Normal,,,,,,9.05,
grlsSHC7JKGG,Enrolled,2.17,9.07,Male Intact,Intact,Northeast,Overweight,,,,,,9.07,
grlsOQ65UN,Enrolled,0.91,7.9,Male Intact,Intact,Midwest,,,,,,,7.9,
grlsNYYNNTZZ,LTF,0.69,0.64,Female Intact,Intact,Midwest,Normal,,,,0.64,,0.64,
grls17BSWSYY,LTF,1.01,0.69,Male Intact,Intact,Midwest,Normal,,,,0.69,,0.69,
grlsCMPJ122,Enrolled,1.12,8.32,Male Intact,Intact,Midwest,Normal,,,,,,8.32,
grlsE9RSSF44,Enrolled Deceased,2.17,7.39,Female Intact,Intact,Pacific,Normal,Lymphoma,1,6.38,7.39,1,7.39,Yes
grls3RQFZX,Enrolled,0.84,7.52,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,7.52,
grlsASIRG7QQ,Enrolled Deceased,0.82,4.95,Female Spayed,<= 6 mo,Northeast,Overweight,,,,4.95,0,4.95,No
grls170XXJZZ,Enrolled,0.86,8.06,Male Intact,Intact,South,Normal,,,,,,8.06,
grlsNPGJX8WW,Enrolled,0.99,8.25,Male Intact,Intact,Northeast,Normal,,,,,,8.25,
grlsRXEQPLQQ,Enrolled,0.86,8.1,Male Intact,Intact,Pacific,,,,,,,8.1,
grlsLK1QBDD,Enrolled,1.46,7.78,Female Spayed,1 - 2 yrs,South,Overweight,,,,,,7.78,
grlsCQ3RPWKK,Enrolled,0.84,8.09,Male Neutered,2 - 5 yrs,Midwest,Normal,,,,,,8.09,
grlsY3EHL211,Enrolled,1.77,8.64,Female Spayed,1 - 2 yrs,South,Overweight,,,,,,8.64,
grlsVI41LZGG,Enrolled,1.69,8,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,8,
grlsIU7GFUBB,LTF,1.53,1.52,Female Spayed,<= 6 mo,Mountain,Overweight,,,,1.52,,1.52,
grlsBDU9RMRR,Enrolled,0.71,7.64,Female Spayed,>5 yrs,Northeast,Normal,,,,,,7.64,
grlsEO0CKZGG,Enrolled,0.71,7.64,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,,,7.64,
grlsBUJQ1711,Enrolled,1.65,7.93,Female Spayed,1 - 2 yrs,Pacific,Normal,Hemangiosarcoma,1,6.25,,,7.93,
grlsHXFOXYTT,LTF,0.65,0.57,Female Intact,Intact,Pacific,Normal,,,,0.57,,0.57,
grls9DKH3N88,Enrolled,0.63,7.8,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,,,7.8,
grlsX2EOMOLL,Enrolled,1,8.28,Male Neutered,2 - 5 yrs,Northeast,Normal,,,,,,8.28,
grlsIB8ZCI66,Enrolled,1.97,9.15,Male Intact,Intact,Northeast,Normal,,,,,,9.15,
grlsRDQWWU44,Enrolled Deceased,0.85,6.61,Male Neutered,6 mo - 1 yr,South,Obese,,,,6.61,1,6.61,Yes
grlsXGDRUCVV,Enrolled,0.66,7.75,Male Intact,Intact,South,Overweight,,,,,,7.75,
grlsMQHRNQYY,Enrolled,0.81,7.37,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,7.37,
grlsW9QLX0GG,Enrolled,1.63,8.57,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,,,8.57,
grls8VHISVYY,Enrolled,2.19,8.62,Male Neutered,6 mo - 1 yr,Pacific,Overweight,,,,,,8.62,
grlsT4OKWOJJ,LTF,1.43,1.4,Male Intact,Intact,Northeast,Normal,,,,1.4,,1.4,
grlsPJVPX6LL,Enrolled Deceased,2.49,8.66,Male Intact,Intact,South,Normal,,,,8.66,1,8.66,Yes
grlsN4YA0O33,Enrolled Deceased,1.49,8.38,Female Spayed,>5 yrs,Northeast,Normal,Hemangiosarcoma,1,8.38,8.38,1,8.38,Yes
grlsXI5Q71FF,LTF,2.09,2.78,Female Intact,Intact,Pacific,Obese,,,,2.78,,2.78,
grls0F3UPZPP,Enrolled,0.99,7.75,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,7.75,
grls4ECTUYFF,Enrolled,0.76,8.04,Male Intact,Intact,Northeast,Overweight,,,,,,8.04,
grlsV9DNUX00,Enrolled Deceased,2.02,5.59,Male Neutered,6 mo - 1 yr,South,Overweight,Lymphoma,1,3.65,5.59,1,5.59,Yes
grlsKLPG3NQQ,Enrolled,0.96,8.1,Male Neutered,6 mo - 1 yr,Pacific,Overweight,,,,,,8.1,
grlsA02KWM55,Enrolled,1.52,8.79,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,8.79,
grlsELLCG2EE,Enrolled,1.64,8,Male Neutered,<= 6 mo,South,Overweight,,,,,,8,
grlsMO697A11,Enrolled,1.89,9.16,Female Spayed,2 - 5 yrs,Midwest,Overweight,,,,,,9.16,
grlsK5ZQCBB,Enrolled,1.5,7.8,Female Intact,Intact,Mountain,Normal,,,,,,7.8,
grls8PLFYEJJ,Enrolled,0.69,7.8,Female Spayed,<= 6 mo,Mountain,Normal,,,,,,7.8,
grlsJLX9E5CC,Enrolled,1.55,8.6,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,8.6,
grlsB6123I,LTF,1,2.26,Female Spayed,6 mo - 1 yr,Midwest,Overweight,,,,2.26,,2.26,
grls35KUFL66,Enrolled,1.95,8.68,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,8.68,
grlsUH7BTO88,Enrolled Deceased,2.12,2.62,Male Intact,Intact,Pacific,Overweight,,,,2.62,1,2.62,Yes
grls1XY17PSS,Enrolled,1.43,8.07,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,8.07,
grlsO09CZUVV,Enrolled Deceased,1.36,8.4,Female Spayed,>5 yrs,Northeast,Normal,,,,8.4,1,8.4,No
grls445JZMM,LTF,0.93,1.84,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,1.84,,1.84,
grls7O56EF66,Enrolled Deceased,1.42,1.91,Male Intact,Intact,Midwest,Normal,,,,1.91,0,1.91,No
grlsHLSFNYOO,Enrolled,1.06,8.31,Male Neutered,1 - 2 yrs,South,Normal,,,,,,8.31,
grlsNF0KBEHH,Enrolled,1.69,8.02,Female Spayed,>5 yrs,Northeast,Overweight,,,,,,8.02,
grlsBC81D299,Enrolled,1.3,8.16,Male Intact,Intact,South,Overweight,,,,,,8.16,
grlsJZ0JUUII,LTF,1.52,1.65,Female Spayed,6 mo - 1 yr,South,Normal,,,,1.65,,1.65,
grls1X8STWLL,Enrolled,1.24,8.44,Female Spayed,<= 6 mo,South,Overweight,,,,,,8.44,
grlsD6LX6AXX,Enrolled Deceased,1.03,5.9,Female Intact,Intact,South,Normal,Hemangiosarcoma,1,5.9,5.9,1,5.9,Yes
grls1M4SL0EE,LTF,1.06,3.15,Female Spayed,6 mo - 1 yr,South,Normal,,,,3.15,,3.15,
grlsZ6K1S5NN,Enrolled,1.99,8.76,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.76,
grlsTLHX4DRR,Enrolled,0.56,7.51,Female Spayed,6 mo - 1 yr,Midwest,Overweight,,,,,,7.51,
grls9P9OD788,Enrolled,1.05,7.49,Male Intact,Intact,South,Overweight,,,,,,7.49,
grlsW6IV4SUU,Enrolled,2.15,9.23,Male Intact,Intact,Northeast,Overweight,,,,,,9.23,
grlsSAH71P66,Enrolled,2.28,9.23,Female Spayed,>5 yrs,Northeast,,,,,,,9.23,
grls5AQUAWSS,Enrolled,2.15,9.23,Male Neutered,>5 yrs,Pacific,Overweight,,,,,,9.23,
grls5KRMWDUU,Enrolled,2.15,9.23,Female Spayed,2 - 5 yrs,Northeast,Overweight,,,,,,9.23,
grls4RG88OII,Enrolled,1.4,8.01,Male Intact,Intact,Northeast,Normal,,,,,,8.01,
grlsZV195TEE,LTF,1.28,4.19,Male Neutered,6 mo - 1 yr,South,Normal,,,,4.19,,4.19,
grlsC29NCATT,Enrolled,0.59,7.34,Female Spayed,<= 6 mo,Northeast,Normal,,,,,,7.34,
grlsFSBDGO11,Enrolled,0.56,7.72,Male Neutered,2 - 5 yrs,Pacific,Normal,,,,,,7.72,
grls3P6PGK44,Enrolled,0.65,7.51,Male Neutered,1 - 2 yrs,South,Overweight,,,,,,7.51,
grlsLZT0WVYY,Enrolled,0.86,7.57,Female Spayed,1 - 2 yrs,Pacific,Overweight,,,,,,7.57,
grlsHNVCL3TT,Enrolled,1.04,7.51,Male Intact,Intact,Northeast,Overweight,,,,,,7.51,
grls0ZJZZ9OO,Enrolled,0.56,7.57,Male Intact,Intact,Midwest,Normal,,,,,,7.57,
grlsWY1FMB00,Enrolled,0.56,7.57,Male Intact,Intact,Midwest,Overweight,,,,,,7.57,
grls2YYUN6XX,Enrolled,0.57,7.45,Male Neutered,2 - 5 yrs,Northeast,Normal,,,,,,7.45,
grlsE63P8INN,Enrolled Deceased,0.96,7,Male Neutered,6 mo - 1 yr,Northeast,Obese,Lymphoma,1,6.29,7,1,7,Yes
grlsH1LIKY88,Enrolled,0.77,7.91,Female Spayed,>5 yrs,Northeast,Obese,,,,,,7.91,
grlsYRBHEODD,Enrolled,1.36,7.6,Female Spayed,<= 6 mo,Midwest,,,,,,,7.6,
grlsXWVNQZHH,Enrolled,0.58,7.61,Male Intact,Intact,Northeast,Normal,,,,,,7.61,
grls2YX0E55,LTF,0.68,2.6,Male Neutered,6 mo - 1 yr,Mountain,Overweight,,,,2.6,,2.6,
grlsOOOI48YY,Enrolled,1.97,8.81,Female Spayed,2 - 5 yrs,South,Normal,,,,,,8.81,
grlsQHD1888,Enrolled,1.17,8.28,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,8.28,
grlsGXI98U11,Enrolled,1.02,7.85,Male Neutered,6 mo - 1 yr,Mountain,Normal,Hemangiosarcoma,1,5.56,,,7.85,
grlsIZWU3CCC,Enrolled,1.55,7.93,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,,,7.93,
grlsRP83F3JJ,Enrolled,1.37,8.06,Male Intact,Intact,South,Normal,,,,,,8.06,
grlsC9MP35PP,Enrolled,1.08,8.26,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,,,8.26,
grlsGID2IWEE,Enrolled,2.04,9.3,Male Neutered,1 - 2 yrs,Mountain,Normal,,,,,,9.3,
grls61OSN6II,LTF,0.88,3.59,Male Neutered,1 - 2 yrs,Midwest,Obese,,,,3.59,,3.59,
grls0OENGRDD,Enrolled Deceased,0.55,6.61,Male Neutered,1 - 2 yrs,South,Normal,,,,6.61,1,6.61,No
grls4VHMSUTT,LTF,1.19,5.09,Male Neutered,6 mo - 1 yr,South,Normal,,,,5.09,,5.09,
grlsFIWHLRWW,Enrolled,0.99,8.21,Male Neutered,6 mo - 1 yr,Pacific,Normal,,,,,,8.21,
grlsEJ9IV622,Enrolled,0.61,7.61,Male Intact,Intact,Northeast,Normal,,,,,,7.61,
grls16Y39PGG,Enrolled Deceased,0.78,7.6,Female Spayed,>5 yrs,South,Normal,Hemangiosarcoma,1,7.6,7.6,1,7.6,Yes
grlsQJYKPRLL,Enrolled,0.76,7.73,Female Intact,Intact,Northeast,Normal,,,,,,7.73,
grlsHNWDKEVV,Enrolled,1.04,8.04,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,8.04,
grlsGIWE111,LTF,1.9,6.79,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,6.79,,6.79,
grlsR1LFJ077,Enrolled,0.56,7.65,Female Spayed,>5 yrs,South,Normal,,,,,,7.65,
grls3OP52Z33,Enrolled,0.7,7.58,Male Neutered,6 mo - 1 yr,South,Overweight,,,,,,7.58,
grls8IS21DOO,Enrolled,0.97,8.18,Male Neutered,1 - 2 yrs,Mountain,Normal,,,,,,8.18,
grlsZ34975II,Enrolled Deceased,1.46,5.31,Female Spayed,2 - 5 yrs,Midwest,Overweight,,,,5.31,0,5.31,No
grlsKX8G1OO,Enrolled Deceased,1.95,7.61,Male Neutered,6 mo - 1 yr,Midwest,Overweight,Lymphoma,2,7.58,7.61,1,7.61,No
grlsYPP94SII,Enrolled,1.81,9.03,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,9.03,
grlsVP2MB000,Enrolled Deceased,0.87,5.96,Male Neutered,6 mo - 1 yr,South,Overweight,,,,5.96,0,5.96,Yes
grls3HHDXHWW,Enrolled,1.56,8.8,Male Neutered,<= 6 mo,Midwest,,,,,,,8.8,
grls8JLHU1WW,Enrolled,0.62,7.47,Female Intact,Intact,Pacific,,,,,,,7.47,
grlsXSX19FGG,Enrolled,1.57,8.73,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,8.73,
grls0TAMSHFF,Enrolled,1.47,8.62,Male Intact,Intact,Northeast,Normal,,,,,,8.62,
grlsNZDLYSZZ,Enrolled,0.55,7.48,Female Spayed,<= 6 mo,South,Overweight,,,,,,7.48,
grlsHBRO1TFF,LTF,1.24,1.21,Male Intact,Intact,Midwest,Overweight,,,,1.21,,1.21,
grlsDLTFLPZZ,Enrolled,1.24,8.21,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,8.21,
grls8AT03KK,Enrolled,1.72,8.41,Female Intact,Intact,South,Overweight,,,,,,8.41,
grlsMGDDQF00,Enrolled,0.6,7.75,Female Intact,Intact,South,Normal,,,,,,7.75,
grlsYID06966,LTF,2.39,4.19,Male Intact,Intact,Mountain,Normal,,,,4.19,,4.19,
grlsR7L221DD,LTF,2.3,2.13,Male Neutered,<= 6 mo,Pacific,Normal,,,,2.13,,2.13,
grlsT9MN8IJJ,Enrolled,1.95,8.79,Male Neutered,<= 6 mo,South,Normal,,,,,,8.79,
grls3YOQ0X33,Enrolled,0.67,7.64,Female Intact,Intact,Midwest,Normal,,,,,,7.64,
grlsNJI7TZPP,Enrolled,2.35,9.02,Male Neutered,1 - 2 yrs,South,Normal,,,,,,9.02,
grls03MTKHLL,Enrolled,0.88,8.03,Female Spayed,<= 6 mo,Pacific,Overweight,,,,,,8.03,
grlsFMTL4P77,Enrolled,1.32,8.39,Female Spayed,2 - 5 yrs,Midwest,Normal,,,,,,8.39,
grls6BWVSHKK,Enrolled,1.78,8.1,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,8.1,
grlsFB7BYDXX,Enrolled,2.02,9.22,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,9.22,
grlsWE2URWMM,Enrolled,1.57,8.6,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,8.6,
grlsSCM2C99,Enrolled Deceased,2.32,4.52,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,4.52,1,4.52,Yes
grlsUJ831IPP,Enrolled,1.2,7.65,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,,,7.65,
grls7831P9BB,Enrolled Deceased,1.74,7.81,Male Neutered,2 - 5 yrs,South,Normal,,,,7.81,0,7.81,No
grlsJTVXY4PP,Enrolled,0.67,7.51,Male Neutered,1 - 2 yrs,Midwest,Overweight,,,,,,7.51,
grlsEO5YUP22,Enrolled,1.72,7.93,Female Spayed,2 - 5 yrs,South,,,,,,,7.93,
grlsPQW4W8CC,Enrolled,1.05,8.1,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.1,
grlsYDEDGCXX,Enrolled,1.11,8.12,Female Spayed,<= 6 mo,Mountain,,,,,,,8.12,
grlsRHCMP4VV,Enrolled Deceased,1,6.88,Female Spayed,6 mo - 1 yr,Northeast,Normal,Hemangiosarcoma,2,6.86,6.88,1,6.88,No
grlsS04MN22,Enrolled,0.71,7.58,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,,,7.58,
grlsNGV9RZOO,Enrolled,1.7,8.85,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,8.85,
grlsSIHXOLII,LTF,0.71,1.67,Female Intact,Intact,Northeast,Overweight,,,,1.67,,1.67,
grlsL8SOU6CC,Enrolled,1.83,8.83,Male Neutered,2 - 5 yrs,South,,,,,,,8.83,
grlsDEMKZM88,Enrolled,1.19,8.33,Female Spayed,1 - 2 yrs,Midwest,Overweight,,,,,,8.33,
grlsGSRN0HCC,Enrolled,1.12,7.73,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,7.73,
grlsZUX4Q9XX,Enrolled,0.72,7.66,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,7.66,
grlsML4B00QQ,Enrolled,0.73,7.8,Female Spayed,1 - 2 yrs,Northeast,Normal,,,,,,7.8,
grlsAWQG9LMM,LTF,1.14,3.17,Female Spayed,<= 6 mo,Pacific,Overweight,,,,3.17,,3.17,
grlsXRY0POWW,Enrolled Deceased,1.96,7.84,Male Neutered,1 - 2 yrs,Midwest,Overweight,Hemangiosarcoma,2,7.84,7.84,1,7.84,No
grlsI48DHOKK,LTF,0.64,2.6,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,2.6,,2.6,
grlsXPN47Y33,Enrolled,1.32,8.53,Female Spayed,>5 yrs,Midwest,Normal,,,,,,8.53,
grlsW4DN9NLL,Enrolled,0.82,7.93,Male Intact,Intact,Pacific,Overweight,,,,,,7.93,
grlsRAZK3D88,Enrolled,1.89,9.05,Male Neutered,1 - 2 yrs,South,Overweight,,,,,,9.05,
grlsFVH2VFOO,Enrolled,0.66,7.71,Female Intact,Intact,Pacific,Normal,,,,,,7.71,
grlsY2FM1GBB,Enrolled,1.74,8.58,Male Neutered,2 - 5 yrs,Pacific,Obese,,,,,,8.58,
grlsUOPU11MM,Enrolled,1.95,8.97,Female Spayed,1 - 2 yrs,South,Overweight,,,,,,8.97,
grlsNOO8MWLL,Enrolled,1.52,7.9,Female Spayed,2 - 5 yrs,Pacific,Overweight,,,,,,7.9,
